date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-09-04,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,36,9,Autumn,0,,1727.0,0.0,21.0,771.0
2024-09-05,SKU0001,16,135559.04,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,36,9,Autumn,0,,1727.0,0.0,21.0,771.0
2024-09-06,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,36,9,Autumn,0,,1727.0,0.0,21.0,771.0
2024-09-07,SKU0001,12,101669.28,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,36,9,Autumn,0,,1727.0,0.0,21.0,771.0
2024-09-08,SKU0001,26,220283.44,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,36,9,Autumn,0,,1727.0,0.0,21.0,771.0
2024-09-09,SKU0001,14,118614.16,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,37,9,Autumn,0,,1604.0,0.0,21.0,771.0
2024-09-10,SKU0001,17,144031.48,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,37,9,Autumn,0,,1604.0,0.0,21.0,771.0
2024-09-11,SKU0001,16,135559.04,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,37,9,Autumn,0,,1604.0,0.0,21.0,771.0
2024-09-12,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,37,9,Autumn,0,,1604.0,0.0,21.0,771.0
2024-09-13,SKU0001,21,177921.24000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,37,9,Autumn,0,,1604.0,0.0,21.0,771.0
2024-09-14,SKU0001,12,101669.28,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,37,9,Autumn,0,,1604.0,0.0,21.0,771.0
2024-09-15,SKU0001,16,135559.04,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,37,9,Autumn,0,,1604.0,0.0,21.0,771.0
2024-09-16,SKU0001,10,84724.40000000001,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,38,9,Autumn,0,,1495.0,0.0,21.0,771.0
2024-09-17,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,38,9,Autumn,0,,1495.0,0.0,21.0,771.0
2024-09-18,SKU0001,25,211811.0,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,38,9,Autumn,0,,1495.0,0.0,21.0,771.0
2024-09-19,SKU0001,21,177921.24000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,38,9,Autumn,0,,1495.0,0.0,21.0,771.0
2024-09-20,SKU0001,17,144031.48,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,38,9,Autumn,0,,1495.0,0.0,21.0,771.0
2024-09-21,SKU0001,21,177921.24000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,38,9,Autumn,0,,1495.0,0.0,21.0,771.0
2024-09-22,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,38,9,Autumn,0,,1495.0,0.0,21.0,771.0
2024-09-23,SKU0001,22,186393.68000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,39,9,Autumn,0,,1379.0,0.0,21.0,771.0
2024-09-24,SKU0001,10,84724.40000000001,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,39,9,Autumn,0,,1379.0,0.0,21.0,771.0
2024-09-25,SKU0001,20,169448.80000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,39,9,Autumn,0,,1379.0,0.0,21.0,771.0
2024-09-26,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,39,9,Autumn,0,,1379.0,0.0,21.0,771.0
2024-09-27,SKU0001,11,93196.84000000001,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,39,9,Autumn,0,,1379.0,0.0,21.0,771.0
2024-09-28,SKU0001,10,84724.40000000001,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,39,9,Autumn,0,,1379.0,0.0,21.0,771.0
2024-09-29,SKU0001,24,203338.56,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,39,9,Autumn,0,,1379.0,0.0,21.0,771.0
2024-09-30,SKU0001,26,220283.44,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,40,9,Autumn,0,,1252.0,0.0,21.0,771.0
2024-10-01,SKU0001,17,144031.48,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,40,10,Autumn,0,,1252.0,0.0,21.0,771.0
2024-10-02,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,40,10,Autumn,1,,1252.0,0.0,21.0,771.0
2024-10-03,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,40,10,Autumn,0,,1252.0,0.0,21.0,771.0
2024-10-04,SKU0001,15,127086.6,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,40,10,Autumn,0,,1252.0,0.0,21.0,771.0
2024-10-05,SKU0001,13,110141.72,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,40,10,Autumn,0,,1252.0,0.0,21.0,771.0
2024-10-06,SKU0001,16,135559.04,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,40,10,Autumn,0,,1252.0,0.0,21.0,771.0
2024-10-07,SKU0001,15,127086.6,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,41,10,Autumn,0,,1144.0,0.0,21.0,771.0
2024-10-08,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,41,10,Autumn,0,,1144.0,0.0,21.0,771.0
2024-10-09,SKU0001,12,101669.28,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,41,10,Autumn,0,,1144.0,0.0,21.0,771.0
2024-10-10,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,41,10,Autumn,0,,1144.0,0.0,21.0,771.0
2024-10-11,SKU0001,25,211811.0,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,41,10,Autumn,0,,1144.0,0.0,21.0,771.0
2024-10-12,SKU0001,13,110141.72,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,41,10,Autumn,0,,1144.0,0.0,21.0,771.0
2024-10-13,SKU0001,20,169448.80000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,41,10,Autumn,0,,1144.0,0.0,21.0,771.0
2024-10-14,SKU0001,16,135559.04,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,42,10,Autumn,0,,1037.0,0.0,21.0,771.0
2024-10-15,SKU0001,30,254173.2,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,42,10,Autumn,0,,1037.0,0.0,21.0,771.0
2024-10-16,SKU0001,8,67779.52,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,42,10,Autumn,0,,1037.0,0.0,21.0,771.0
2024-10-17,SKU0001,11,93196.84000000001,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,42,10,Autumn,0,,1037.0,0.0,21.0,771.0
2024-10-18,SKU0001,15,127086.6,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,42,10,Autumn,0,,1037.0,0.0,21.0,771.0
2024-10-19,SKU0001,33,279590.52,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,42,10,Autumn,0,,1037.0,0.0,21.0,771.0
2024-10-20,SKU0001,37,241646.63,6530.99,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,42,10,Autumn,0,Festive Sale,1037.0,0.0,21.0,771.0
2024-10-21,SKU0001,51,376429.98,7380.98,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,43,10,Autumn,0,Festive Sale,915.0,0.0,21.0,771.0
2024-10-22,SKU0001,25,180373.25,7214.93,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,43,10,Autumn,0,Festive Sale,915.0,0.0,21.0,771.0
2024-10-23,SKU0001,35,231067.9,6601.94,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,43,10,Autumn,0,Festive Sale,915.0,0.0,21.0,771.0
2024-10-24,SKU0001,36,258406.92,7177.97,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,43,10,Autumn,0,Festive Sale,915.0,0.0,21.0,771.0
2024-10-25,SKU0001,33,229970.73,6968.81,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,43,10,Autumn,0,Festive Sale,915.0,0.0,21.0,771.0
2024-10-26,SKU0001,34,235031.46,6912.69,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,43,10,Autumn,0,Festive Sale,915.0,0.0,21.0,771.0
2024-10-27,SKU0001,41,266369.62,6496.82,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,43,10,Autumn,0,Festive Sale,915.0,0.0,21.0,771.0
2024-10-28,SKU0001,29,203377.87,7013.03,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,44,10,Autumn,0,Festive Sale,770.0,1493.0,21.0,771.0
2024-10-29,SKU0001,17,110182.61,6481.33,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,44,10,Autumn,0,Festive Sale,770.0,1493.0,21.0,771.0
2024-10-30,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,44,10,Autumn,0,,770.0,1493.0,21.0,771.0
2024-10-31,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,44,10,Autumn,0,,770.0,1493.0,21.0,771.0
2024-11-01,SKU0001,15,127086.6,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,44,11,Autumn,0,,770.0,1493.0,21.0,771.0
2024-11-02,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,44,11,Autumn,0,,770.0,1493.0,21.0,771.0
2024-11-03,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,44,11,Autumn,0,,770.0,1493.0,21.0,771.0
2024-11-04,SKU0001,16,135559.04,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,45,11,Autumn,0,,625.0,1180.0,21.0,771.0
2024-11-05,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,45,11,Autumn,0,,625.0,1180.0,21.0,771.0
2024-11-06,SKU0001,13,110141.72,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,45,11,Autumn,0,,625.0,1180.0,21.0,771.0
2024-11-07,SKU0001,10,84724.40000000001,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,45,11,Autumn,0,,625.0,1180.0,21.0,771.0
2024-11-08,SKU0001,25,211811.0,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,45,11,Autumn,0,,625.0,1180.0,21.0,771.0
2024-11-09,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,45,11,Autumn,0,,625.0,1180.0,21.0,771.0
2024-11-10,SKU0001,17,144031.48,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,45,11,Autumn,0,,625.0,1180.0,21.0,771.0
2024-11-11,SKU0001,7,59307.08,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,46,11,Autumn,0,,455.0,0.0,21.0,771.0
2024-11-12,SKU0001,17,144031.48,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,46,11,Autumn,0,,455.0,0.0,21.0,771.0
2024-11-13,SKU0001,20,169448.80000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,46,11,Autumn,0,,455.0,0.0,21.0,771.0
2024-11-14,SKU0001,36,305007.84,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,46,11,Autumn,0,,455.0,0.0,21.0,771.0
2024-11-15,SKU0001,31,262645.64,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,46,11,Autumn,1,,455.0,0.0,21.0,771.0
2024-11-16,SKU0001,21,177921.24000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,46,11,Autumn,0,,455.0,0.0,21.0,771.0
2024-11-17,SKU0001,27,228755.88,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,46,11,Autumn,0,,455.0,0.0,21.0,771.0
2024-11-18,SKU0001,34,288062.96,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,47,11,Autumn,0,,271.0,0.0,21.0,771.0
2024-11-19,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,47,11,Autumn,0,,271.0,0.0,21.0,771.0
2024-11-20,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,47,11,Autumn,0,,271.0,0.0,21.0,771.0
2024-11-21,SKU0001,21,177921.24000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,47,11,Autumn,0,,271.0,0.0,21.0,771.0
2024-11-22,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,47,11,Autumn,0,,271.0,0.0,21.0,771.0
2024-11-23,SKU0001,25,211811.0,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,47,11,Autumn,0,,271.0,0.0,21.0,771.0
2024-11-24,SKU0001,35,296535.4,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,47,11,Autumn,0,,271.0,0.0,21.0,771.0
2024-11-25,SKU0001,35,225929.55000000002,6455.13,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,48,11,Autumn,0,Black Friday,125.0,1108.0,21.0,771.0
2024-11-26,SKU0001,34,246126.0,7239.0,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,48,11,Autumn,0,Black Friday,125.0,1108.0,21.0,771.0
2024-11-27,SKU0001,19,122465.45,6445.55,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,48,11,Autumn,0,Black Friday,125.0,1108.0,21.0,771.0
2024-11-28,SKU0001,37,257543.68000000002,6960.64,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,48,11,Autumn,0,Black Friday,125.0,1108.0,21.0,771.0
2024-11-29,SKU0001,28,189973.56,6784.77,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,48,11,Autumn,0,Black Friday,125.0,1108.0,21.0,771.0
2024-11-30,SKU0001,66,438516.54,6644.19,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,48,11,Autumn,0,Black Friday,125.0,1108.0,21.0,771.0
2024-12-01,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,48,12,Winter,0,,125.0,1108.0,21.0,771.0
2024-12-02,SKU0001,20,169448.80000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,49,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-03,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,49,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-04,SKU0001,9,76251.96,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,49,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-05,SKU0001,11,93196.84000000001,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,49,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-06,SKU0001,24,203338.56,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,49,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-07,SKU0001,27,228755.88,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,49,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-08,SKU0001,32,271118.08,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,49,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-09,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,50,12,Winter,0,,0.0,1137.0,21.0,771.0
2024-12-10,SKU0001,15,127086.6,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,50,12,Winter,0,,0.0,1137.0,21.0,771.0
2024-12-11,SKU0001,21,177921.24000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,50,12,Winter,0,,0.0,1137.0,21.0,771.0
2024-12-12,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,50,12,Winter,0,,0.0,1137.0,21.0,771.0
2024-12-13,SKU0001,27,228755.88,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,50,12,Winter,0,,0.0,1137.0,21.0,771.0
2024-12-14,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,50,12,Winter,0,,0.0,1137.0,21.0,771.0
2024-12-15,SKU0001,36,305007.84,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,50,12,Winter,0,,0.0,1137.0,21.0,771.0
2024-12-16,SKU0001,14,118614.16,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,51,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-17,SKU0001,31,262645.64,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,51,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-18,SKU0001,22,186393.68000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,51,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-19,SKU0001,28,237228.32,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,51,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-20,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,51,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-21,SKU0001,33,279590.52,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,51,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-22,SKU0001,38,321952.72000000003,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,51,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-23,SKU0001,14,118614.16,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,52,12,Winter,0,,0.0,951.0,21.0,771.0
2024-12-24,SKU0001,21,177921.24000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,52,12,Winter,0,,0.0,951.0,21.0,771.0
2024-12-25,SKU0001,37,313480.28,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,52,12,Winter,1,,0.0,951.0,21.0,771.0
2024-12-26,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,52,12,Winter,0,,0.0,951.0,21.0,771.0
2024-12-27,SKU0001,21,177921.24000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,52,12,Winter,0,,0.0,951.0,21.0,771.0
2024-12-28,SKU0001,30,254173.2,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,52,12,Winter,0,,0.0,951.0,21.0,771.0
2024-12-29,SKU0001,30,254173.2,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,52,12,Winter,0,,0.0,951.0,21.0,771.0
2024-12-30,SKU0001,27,228755.88,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,1,12,Winter,0,,0.0,0.0,21.0,771.0
2024-12-31,SKU0001,18,152503.92,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,1,12,Winter,0,,0.0,0.0,21.0,771.0
2025-01-01,SKU0001,30,254173.2,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,1,1,Winter,1,,0.0,0.0,21.0,771.0
2025-01-02,SKU0001,35,296535.4,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,1,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-03,SKU0001,28,237228.32,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,1,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-04,SKU0001,37,313480.28,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,1,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-05,SKU0001,31,262645.64,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,1,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-06,SKU0001,26,220283.44,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,2,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-07,SKU0001,30,254173.2,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,2,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-08,SKU0001,34,288062.96,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,2,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-09,SKU0001,30,254173.2,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,2,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-10,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,2,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-11,SKU0001,27,228755.88,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,2,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-12,SKU0001,47,398204.68000000005,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,2,1,Winter,0,,0.0,0.0,21.0,771.0
2025-01-13,SKU0001,50,423622.0,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,3,1,Winter,0,,0.0,1017.0,21.0,771.0
2025-01-14,SKU0001,33,279590.52,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,3,1,Winter,0,,0.0,1017.0,21.0,771.0
2025-01-15,SKU0001,33,248985.33000000002,7545.01,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,3,1,Winter,0,New Year Sale,0.0,1017.0,21.0,771.0
2025-01-16,SKU0001,36,253738.44,7048.29,1,Small Appliances,Climate,2024-08-07,3476.81,8472.44,3,1,Winter,0,New Year Sale,0.0,1017.0,21.0,771.0
